prompt,layer_14,layer_13,layer_2,layer_5,layer_4,layer_3,layer_12,cfg,layer_15,layer_9,layer_0,layer_7,layer_18,layer_16,layer_11,layer_10,layer_17,layer_6,layer_1,layer_8
prompt_23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8369908928871155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prompt_29,0.983932375907898,0.990573525428772,0.0,0.9929422736167908,0.9908181428909302,0.9667851328849792,0.9755722284317017,0.9693441987037659,0.9882926940917969,0.9869745373725891,0.0,0.9803484678268433,0.9961327314376831,0.9834406971931458,0.9933070540428162,0.9914687275886536,0.9882054924964905,0.9752497673034668,0.0,0.981778085231781
prompt_91,0.9990339875221252,0.9961308836936951,0.0,0.9905467629432678,0.9983788728713989,0.9978175759315491,0.998182475566864,0.9941798448562622,0.9981083273887634,0.9576598405838013,0.0,0.9979875087738037,0.9969556927680969,0.8629571199417114,0.9984733462333679,0.9981047511100769,0.99784916639328,0.9938704967498779,0.0,0.9329719543457031
prompt_75,0.9923706650733948,0.9934813380241394,0.9851774871349335,0.9916436076164246,0.9885130524635315,0.9889145195484161,0.9887200891971588,0.9363771080970764,0.956072211265564,0.9897149801254272,0.0,0.9778084456920624,0.9898916780948639,0.9881787598133087,0.9873045682907104,0.987439900636673,0.9783830940723419,0.8623413741588593,0.0,0.0
prompt_7,0.9937007427215576,0.9941720962524414,0.986781895160675,0.9912415146827698,0.9949862360954285,0.0,0.9926309585571289,0.0,0.9975544214248657,0.0,0.0,0.0,0.9991052746772766,0.9978991746902466,0.9849311113357544,0.0,0.8085898160934448,0.0,0.0,0.0
prompt_47,0.9982645511627197,0.9955616295337677,0.991250216960907,0.9976203441619873,0.9973822832107544,0.9950407147407532,0.9976691007614136,0.9968302547931671,0.9961346089839935,0.9934776127338409,0.9920215904712677,0.9956435859203339,0.9943529963493347,0.9971733391284943,0.9937285780906677,0.9991351366043091,0.9940944314002991,0.9968553185462952,0.9967009425163269,0.9875983595848083
prompt_30,0.990472286939621,0.9980443120002747,0.9890568852424622,0.9912300109863281,0.9916799664497375,0.9902092516422272,0.9898762702941895,0.991695374250412,0.9912661910057068,0.9928246736526489,0.9685682356357574,0.9933051466941833,0.9835147857666016,0.9897881150245667,0.9924597442150116,0.9941729605197906,0.992798775434494,0.9908692538738251,0.0,0.9925240874290466
prompt_37,0.9849171042442322,0.9798513054847717,0.9850373864173889,0.978650689125061,0.9827461242675781,0.9826026558876038,0.9695003032684326,0.9761212468147278,0.9758724868297577,0.9683742225170135,0.9770869612693787,0.9818195700645447,0.9131375253200531,0.9707542657852173,0.9684312045574188,0.9804531037807465,0.9845427870750427,0.9783362150192261,0.9795053601264954,0.978211909532547
prompt_40,0.0,0.9782527089118958,0.7527843117713928,0.9301505386829376,0.9935110807418823,0.0,0.9569122195243835,0.9801096320152283,0.9766115546226501,0.9987152218818665,0.0,0.9992979764938354,0.9882510900497437,0.9230415523052216,0.9987824559211731,0.0,0.0,0.9906057119369507,0.0,0.8590099811553955
prompt_0,0.9916834533214569,0.9894346594810486,0.9966445863246918,0.9941617250442505,0.9879787266254425,0.9865365028381348,0.9907994270324707,0.9917230308055878,0.987860381603241,0.9864331781864166,0.9965914487838745,0.9919633865356445,0.983559638261795,0.9891258180141449,0.9842870533466339,0.9868433773517609,0.9839867055416107,0.9837841987609863,0.9998928904533386,0.990247905254364
